id,location_id,industry_id,ethnicity_id,race_id,gender_id,firm_id,receipts_id,annual_payroll,payroll_error,num_employees,employees_error,year
1,1,1,1,1,1,1,1,101752690,1.3,1359340,1.2,2012
2,2,2,2,2,2,2,2,840927,16.4,15887,9.7,2012
3,3,3,3,3,3,3,3,167558,22.6,4502,14.1,2012
4,4,4,4,4,4,4,4,1857635,4.9,30096,4.6,2012
5,5,5,5,5,5,5,5,23187,49.9,357,28.0,2012
6,6,6,6,6,6,6,6,77970,66.5,1022,39.3,2012
7,7,7,7,7,7,7,7,106507508,1.2,1449714,1.1,2012
8,8,8,8,8,8,8,8,421887837,0.6,4630174,1.5,2012
9,9,9,9,9,9,9,9,7172098,3.3,140309,2.5,2012
10,10,10,10,10,10,10,10,89752717,1.6,1132249,1.4,2012
11,11,11,11,11,11,11,11,4570752,6.1,81093,2.9,2012
12,12,12,12,12,12,12,12,106507508,1.2,1449714,1.1,2012
13,13,13,13,13,13,13,13,421887837,0.6,4630174,1.5,2012
14,14,14,14,14,14,14,14,1479513,6.3,33547,4.9,2012
15,15,15,15,15,15,15,15,235815,5.9,6919,10.0,2012
16,16,16,16,16,16,16,16,1124617,8.4,23232,6.1,2012
17,17,17,17,17,17,17,17,119081,23.4,3396,21.1,2012
18,18,18,18,18,18,18,18,1205336,4.9,28251,5.1,2012
19,19,19,19,19,19,19,19,S,S,f,S,2012
20,20,20,20,20,20,20,20,32729,17.6,399,50.1,2012
21,21,21,21,21,21,21,21,S,S,e,S,2012
22,22,22,22,22,22,22,22,S,S,b,S,2012
23,23,23,23,23,23,23,23,216286,10.9,5135,15.2,2012
24,24,24,24,24,24,24,24,552882,8.8,15684,7.2,2012
25,25,25,25,25,25,25,25,112569,10.1,3555,14.1,2012
26,26,26,26,26,26,26,26,390622,10.2,10467,9.7,2012
27,27,27,27,27,27,27,27,49690,25.7,1662,24.2,2012
28,28,28,28,28,28,28,28,105812,17.9,1788,24.5,2012
29,29,29,29,29,29,29,29,13578,26.4,402,23.3,2012
30,30,30,30,30,30,30,30,92172,22.2,1381,34.0,2012
31,31,31,31,31,31,31,31,S,S,a,S,2012
32,32,32,32,32,32,32,32,361817,24.9,6336,15.3,2012
33,33,33,33,33,33,33,33,34064,32.9,1042,25.1,2012
34,34,34,34,34,34,34,34,305763,30.4,4613,22.5,2012
35,35,35,35,35,35,35,35,21991,44.9,681,40.5,2012
36,36,36,36,36,36,36,36,434864,5.8,9097,6.2,2012
37,37,37,37,37,37,37,37,69674,15.0,1746,14.2,2012
38,38,38,38,38,38,38,38,332751,8.0,6707,10.8,2012
39,39,39,39,39,39,39,39,32439,24.9,644,25.2,2012
40,40,40,40,40,40,40,40,236292,25.6,4666,18.6,2012
41,41,41,41,41,41,41,41,S,S,c,S,2012
42,42,42,42,42,42,42,42,86646,65.6,1333,51.9,2012
43,43,43,43,43,43,43,43,139651,17.4,3135,15.9,2012
44,44,44,44,44,44,44,44,209082,29.2,3948,20.8,2012
45,45,45,45,45,45,45,45,S,S,a,S,2012
46,46,46,46,46,46,46,46,S,S,a,S,2012
47,47,47,47,47,47,47,47,S,S,b,S,2012
48,48,48,48,48,48,48,48,S,S,a,S,2012
49,49,49,49,49,49,49,49,S,S,a,S,2012
50,50,50,50,50,50,50,50,104791703,1.3,1411501,1.1,2012
51,51,51,51,51,51,51,51,7686478,3.4,151758,2.7,2012
52,52,52,52,52,52,52,52,92255189,1.5,1170717,1.3,2012
53,53,53,53,53,53,53,53,4850036,5.8,89027,2.8,2012
54,54,54,54,54,54,54,54,62478,21.7,1832,22.8,2012
55,55,55,55,55,55,55,55,S,S,i,S,2012
56,56,56,56,56,56,56,56,S,S,i,S,2012
57,57,57,57,57,57,57,57,S,S,a,S,2012
58,58,58,58,58,58,58,58,S,S,a,S,2012
59,59,59,59,59,59,59,59,S,S,b,S,2012
60,60,60,60,60,60,60,60,S,S,a,S,2012
61,61,61,61,61,61,61,61,0,0.0,0,0.0,2012
62,62,62,62,62,62,62,62,50530190,1.3,1250095,1.8,2012
63,63,63,63,63,63,63,63,6732233,6.2,186687,5.7,2012
64,64,64,64,64,64,64,64,38298475,1.3,909272,1.7,2012
65,65,65,65,65,65,65,65,5499481,3.4,154136,4.1,2012
66,66,66,66,66,66,66,66,48706290,1.2,1197312,1.9,2012
67,67,67,67,67,67,67,67,367272,4.7,10710,3.8,2012
68,68,68,68,68,68,68,68,121755,46.4,2633,18.7,2012
69,69,69,69,69,69,69,69,1251743,7.3,36654,5.9,2012
70,70,70,70,70,70,70,70,17275,24.1,534,21.9,2012
71,71,71,71,71,71,71,71,19084,23.1,808,23.5,2012
72,72,72,72,72,72,72,72,51804146,1.4,1287214,1.8,2012
73,73,73,73,73,73,73,73,34600044,0.5,636834,0.8,2012
74,74,74,74,74,74,74,74,497536,13.5,13573,8.3,2012
75,75,75,75,75,75,75,75,46042,32.1,950,20.7,2012
76,76,76,76,76,76,76,76,153807,19.0,3579,10.7,2012
77,77,77,77,77,77,77,77,S,S,i,S,2012
78,78,78,78,78,78,78,78,48496134,1.3,1191940,1.9,2012
79,79,79,79,79,79,79,79,6340896,6.4,174590,6.2,2012
80,80,80,80,80,80,80,80,36999223,1.3,874916,1.7,2012
81,81,81,81,81,81,81,81,5156015,3.6,142434,4.4,2012
82,82,82,82,82,82,82,82,86404189,0.9,1924048,1.3,2012
83,83,83,83,83,83,83,83,7026316,7.0,194195,6.0,2012
84,84,84,84,84,84,84,84,38970412,1.4,929253,1.7,2012
85,85,85,85,85,85,85,85,5807418,3.5,163766,4.0,2012
86,86,86,86,86,86,86,86,49795531,1.3,1228818,1.9,2012
87,87,87,87,87,87,87,87,6643478,7.3,182414,6.6,2012
88,88,88,88,88,88,88,88,37703330,1.3,894696,1.7,2012
89,89,89,89,89,89,89,89,5448723,3.7,151709,4.4,2012
90,90,90,90,90,90,90,90,51804146,1.4,1287214,1.8,2012
91,91,91,91,91,91,91,91,34600044,0.5,636834,0.8,2012
92,92,92,92,92,92,92,92,51804146,1.4,1287214,1.8,2012
93,93,93,93,93,93,93,93,34600044,0.5,636834,0.8,2012
94,94,94,94,94,94,94,94,373367,4.6,10845,3.8,2012
95,95,95,95,95,95,95,95,73021,22.8,2438,16.8,2012
96,96,96,96,96,96,96,96,280479,6.5,7729,7.2,2012
97,97,97,97,97,97,97,97,19867,26.7,678,19.0,2012
98,98,98,98,98,98,98,98,1014781,9.3,30005,7.2,2012
99,99,99,99,99,99,99,99,290129,33.3,7398,30.4,2012
100,100,100,100,100,100,100,100,609459,4.8,18149,7.3,2012
101,101,101,101,101,101,101,101,115193,8.4,4457,5.2,2012
102,102,102,102,102,102,102,102,122594,46.1,2678,18.2,2012
103,103,103,103,103,103,103,103,31177,28.0,981,23.1,2012
104,104,104,104,104,104,104,104,88858,63.7,1631,26.8,2012
105,105,105,105,105,105,105,105,2559,16.8,66,37.7,2012
106,106,106,106,106,106,106,106,1257391,7.3,36762,5.9,2012
107,107,107,107,107,107,107,107,882472,10.5,26042,8.9,2012
108,108,108,108,108,108,108,108,6064,30.4,133,32.9,2012
109,109,109,109,109,109,109,109,839,50.4,45,42.7,2012
