id,ethnic_group
1,Non-Hispanic
2,Non-Hispanic
3,Non-Hispanic
4,Non-Hispanic
5,Non-Hispanic
6,Non-Hispanic
7,"All firms classifiable by gender, ethnicity, race, and veteran status"
8,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status"
9,All firms
10,All firms
11,All firms
12,All firms
13,All firms
14,Hispanic
15,Hispanic
16,Hispanic
17,Hispanic
18,Hispanic
19,Hispanic
20,Hispanic
21,Hispanic
22,Hispanic
23,Hispanic
24,"Mexican, Mexican American, Chicano"
25,"Mexican, Mexican American, Chicano"
26,"Mexican, Mexican American, Chicano"
27,"Mexican, Mexican American, Chicano"
28,Puerto Rican
29,Puerto Rican
30,Puerto Rican
31,Puerto Rican
32,Cuban
33,Cuban
34,Cuban
35,Cuban
36,"Other Hispanic, Latino, or Spanish"
37,"Other Hispanic, Latino, or Spanish"
38,"Other Hispanic, Latino, or Spanish"
39,"Other Hispanic, Latino, or Spanish"
40,Equally Hispanic/non-Hispanic
41,Equally Hispanic/non-Hispanic
42,Equally Hispanic/non-Hispanic
43,Equally Hispanic/non-Hispanic
44,Equally Hispanic/non-Hispanic
45,Equally Hispanic/non-Hispanic
46,Equally Hispanic/non-Hispanic
47,Equally Hispanic/non-Hispanic
48,Equally Hispanic/non-Hispanic
49,Equally Hispanic/non-Hispanic
50,Non-Hispanic
51,Non-Hispanic
52,Non-Hispanic
53,Non-Hispanic
54,Equally Hispanic/non-Hispanic
55,Equally Hispanic/non-Hispanic
56,Equally Hispanic/non-Hispanic
57,Equally Hispanic/non-Hispanic
58,Equally Hispanic/non-Hispanic
59,Equally Hispanic/non-Hispanic
60,Equally Hispanic/non-Hispanic
61,Equally Hispanic/non-Hispanic
62,Non-Hispanic
63,Non-Hispanic
64,Non-Hispanic
65,Non-Hispanic
66,Non-Hispanic
67,Non-Hispanic
68,Non-Hispanic
69,Non-Hispanic
70,Non-Hispanic
71,Non-Hispanic
72,"All firms classifiable by gender, ethnicity, race, and veteran status"
73,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status"
74,All firms
75,All firms
76,All firms
77,All firms
78,All firms
79,All firms
80,All firms
81,All firms
82,All firms
83,All firms
84,All firms
85,All firms
86,All firms
87,All firms
88,All firms
89,All firms
90,All firms
91,All firms
92,All firms
93,All firms
94,All firms
95,All firms
96,All firms
97,All firms
98,Hispanic
99,Hispanic
100,Hispanic
101,Hispanic
102,All firms
103,All firms
104,All firms
105,All firms
106,All firms
107,Hispanic
108,Hispanic
109,Hispanic
110,Hispanic
111,Hispanic
112,Hispanic
113,"Mexican, Mexican American, Chicano"
114,"Mexican, Mexican American, Chicano"
115,"Mexican, Mexican American, Chicano"
116,"Mexican, Mexican American, Chicano"
117,All firms
118,All firms
119,All firms
120,All firms
121,All firms
122,All firms
123,All firms
124,Puerto Rican
125,Puerto Rican
126,Puerto Rican
127,Puerto Rican
128,All firms
129,All firms
130,All firms
131,All firms
132,Cuban
133,Cuban
134,Cuban
135,Cuban
136,"Other Hispanic, Latino, or Spanish"
137,All firms
138,All firms
139,All firms
140,All firms
141,All firms
142,"Other Hispanic, Latino, or Spanish"
143,"Other Hispanic, Latino, or Spanish"
144,"Other Hispanic, Latino, or Spanish"
145,Equally Hispanic/non-Hispanic
146,Equally Hispanic/non-Hispanic
147,All firms
148,All firms
149,All firms
150,All firms
151,All firms
152,All firms
153,All firms
154,All firms
155,All firms
156,All firms
157,All firms
158,All firms
159,All firms
160,All firms
161,All firms
162,All firms
163,All firms
164,All firms
165,All firms
166,All firms
167,All firms
168,All firms
169,All firms
170,All firms
171,All firms
172,All firms
173,All firms
174,All firms
175,All firms
176,All firms
177,All firms
178,All firms
179,All firms
180,All firms
181,All firms
182,All firms
183,All firms
184,All firms
185,All firms
186,All firms
187,All firms
188,All firms
189,All firms
190,All firms
191,All firms
192,All firms
193,All firms
194,All firms
195,All firms
196,Hispanic
197,Hispanic
198,Hispanic
199,Hispanic
200,Hispanic
201,Hispanic
202,All firms
203,All firms
204,All firms
205,All firms
206,Hispanic
207,Hispanic
208,Hispanic
209,"Mexican, Mexican American, Chicano"
210,"Mexican, Mexican American, Chicano"
211,"Mexican, Mexican American, Chicano"
212,"Mexican, Mexican American, Chicano"
213,Puerto Rican
214,All firms
215,All firms
216,All firms
217,All firms
218,All firms
219,All firms
220,Puerto Rican
221,Puerto Rican
222,Puerto Rican
223,Cuban
224,Cuban
225,Cuban
226,Cuban
227,All firms
228,All firms
229,All firms
230,All firms
231,All firms
232,All firms
233,"Other Hispanic, Latino, or Spanish"
234,"Other Hispanic, Latino, or Spanish"
235,"Other Hispanic, Latino, or Spanish"
236,"Other Hispanic, Latino, or Spanish"
237,All firms
238,All firms
239,All firms
240,All firms
241,Equally Hispanic/non-Hispanic
242,Equally Hispanic/non-Hispanic
243,Equally Hispanic/non-Hispanic
244,Equally Hispanic/non-Hispanic
245,All firms
246,All firms
247,All firms
248,All firms
249,All firms
250,All firms
251,All firms
252,Equally Hispanic/non-Hispanic
253,Equally Hispanic/non-Hispanic
254,Equally Hispanic/non-Hispanic
255,Equally Hispanic/non-Hispanic
256,Equally Hispanic/non-Hispanic
257,Equally Hispanic/non-Hispanic
258,Non-Hispanic
259,Non-Hispanic
260,Non-Hispanic
261,Non-Hispanic
262,All firms
263,All firms
264,All firms
265,All firms
266,All firms
267,All firms
268,All firms
269,All firms
270,All firms
271,All firms
272,Non-Hispanic
273,Non-Hispanic
274,Non-Hispanic
275,Non-Hispanic
276,Non-Hispanic
277,Non-Hispanic
278,"All firms classifiable by gender, ethnicity, race, and veteran status"
279,All firms
280,All firms
281,All firms
282,All firms
283,All firms
284,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status"
285,All firms
286,All firms
287,All firms
288,All firms
289,All firms
290,All firms
291,All firms
292,All firms
293,All firms
294,All firms
295,All firms
296,All firms
297,All firms
298,All firms
299,All firms
300,All firms
301,All firms
302,All firms
303,All firms
304,All firms
305,All firms
306,All firms
307,All firms
308,All firms
309,All firms
