id,total_firms,total_error,paid_firms,paid_error,unpaid_firms,unpaid_error
1,769870,0.2,190604,0.4,579266,0.3
2,42056,1.2,4058,6.1,37997,1.2
3,5335,4.5,1168,8.1,4167,5.8
4,47276,1.4,7484,2.8,39792,1.9
5,1152,7.9,107,27.4,1046,7.6
6,2236,13.2,276,21.2,1960,13.3
7,920742,0.2,212378,0.4,708363,0.2
8,39772,2.0,20379,2.3,19393,3.4
9,155415,1.1,28392,2.8,127024,1.5
10,540875,0.3,141798,0.8,399077,0.5
11,65727,1.3,18779,2.8,46948,1.2
12,920742,0.2,212378,0.4,708363,0.2
13,39772,2.0,20379,2.3,19393,3.4
14,55392,1.6,8529,3.3,46863,1.6
15,23547,2.2,2428,5.3,21119,2.2
16,29323,2.0,5255,4.6,24068,2.5
17,2522,11.1,846,8.0,1677,14.6
18,42342,1.3,6991,4.5,35350,1.4
19,1576,13.1,235,22.0,1341,13.6
20,855,13.2,57,57.1,799,14.5
21,864,17.0,143,28.9,721,20.8
22,73,19.1,19,69.6,54,15.3
23,12196,2.6,1484,9.4,10712,3.1
24,25045,2.6,3883,5.4,21162,2.6
25,10840,2.3,1236,7.1,9604,2.4
26,13102,3.4,2331,7.8,10771,4.3
27,1103,16.8,316,13.7,788,22.3
28,4703,4.6,488,12.3,4215,5.1
29,2217,7.3,156,20.9,2061,6.7
30,2470,11.7,327,20.5,2143,12.6
31,16,82.0,5,119.4,11,109.9
32,6929,6.8,1550,8.5,5379,7.0
33,2478,8.3,399,21.6,2080,8.3
34,3931,9.3,967,11.0,2963,10.3
35,520,29.3,184,27.3,336,43.1
36,18335,2.9,2483,5.0,15853,2.9
37,7983,4.9,609,12.4,7374,5.0
38,9771,5.0,1618,6.7,8154,5.9
39,581,19.3,256,16.8,325,35.4
40,3450,7.2,993,15.0,2457,7.0
41,69,60.5,55,57.2,14,109.0
42,830,20.5,200,34.5,630,23.4
43,2551,8.9,739,11.0,1812,11.8
44,2525,12.1,769,20.1,1756,13.4
45,17,71.4,2,93.9,15,79.2
46,9,115.8,0,0.0,9,110.4
47,7,74.4,7,77.4,0,0.0
48,1,0.0,1,0.0,0,0.0
49,1,0.0,0,0.0,1,0.0
50,861899,0.2,202856,0.4,659043,0.3
51,194147,1.0,31772,2.2,162374,1.2
52,594775,0.3,150825,0.6,443951,0.5
53,72977,1.2,20259,2.6,52718,1.5
54,4838,12.9,476,17.0,4362,12.4
55,16207,4.8,1772,9.2,14435,5.7
56,16595,3.5,1774,8.3,14821,3.6
57,7,74.6,3,104.6,4,106.1
58,3,106.2,0,0.0,3,101.2
59,113,61.8,7,75.4,107,63.7
60,5,90.3,0,0.0,5,86.1
61,0,0.0,0,0.0,0,0.0
62,2415213,0.2,240708,0.3,2174504,0.2
63,653545,0.5,54832,1.7,598714,0.4
64,1313072,0.3,142306,0.8,1170766,0.4
65,448595,1.1,43571,2.3,405024,1.2
66,2174295,0.2,224570,0.3,1949724,0.2
67,75316,1.1,2779,4.5,72537,1.1
68,9680,4.5,855,12.5,8825,4.6
69,147826,1.1,11841,4.1,135984,1.0
70,2377,6.7,164,25.9,2213,6.7
71,5261,4.9,286,23.4,4975,4.3
72,2579737,0.2,253009,0.3,2326728,0.2
73,101205,2.7,17939,1.9,83266,3.2
74,42543,2.9,4062,2.9,38480,3.1
75,1440,14.0,127,51.7,1313,15.6
76,10458,9.6,813,9.6,9645,9.6
77,30644,3.1,3122,3.5,27523,3.5
78,2154114,0.2,223036,0.3,1931078,0.2
79,560582,0.5,50002,1.9,510580,0.5
80,1199323,0.4,133731,0.8,1065592,0.4
81,394208,1.3,39303,2.4,354905,1.3
82,2680942,0.1,270948,0.2,2409994,0.1
83,711762,0.5,57580,2.0,654182,0.5
84,1387423,0.3,148656,0.9,1238767,0.3
85,480552,1.0,46773,2.1,433779,1.1
86,2306033,0.2,234636,0.2,2071398,0.2
87,613323,0.5,52840,2.2,560483,0.5
88,1267987,0.3,139625,0.9,1128362,0.3
89,424723,1.1,42170,2.1,382553,1.2
90,2579737,0.2,253009,0.3,2326728,0.2
91,101205,2.7,17939,1.9,83266,3.2
92,2579737,0.2,253009,0.3,2326728,0.2
93,101205,2.7,17939,1.9,83266,3.2
94,78011,1.1,2812,4.4,75199,1.0
95,38825,2.0,922,12.4,37903,1.8
96,32402,1.6,1582,8.8,30820,1.7
97,6784,4.6,307,19.3,6477,5.0
98,142696,1.0,9995,3.5,132701,1.1
99,57432,2.2,2690,9.9,54742,1.8
100,69513,2.0,5874,5.8,63639,1.9
101,15751,3.7,1430,9.1,14320,4.0
102,10925,5.2,873,12.2,10051,5.3
103,5446,7.8,351,20.9,5095,7.1
104,5215,7.6,505,14.4,4710,8.2
105,263,28.1,18,48.4,246,27.8
106,149452,1.1,11975,4.0,137476,1.1
107,115144,1.5,8292,4.7,106853,1.6
108,2688,11.6,30,31.8,2658,11.1
109,1242,16.4,18,37.2,1223,15.5
110,1513,14.5,128,40.0,1385,14.0
111,409,25.8,3,67.5,405,24.8
112,26421,2.4,1644,10.0,24777,2.5
113,58532,2.0,3570,8.6,54962,1.6
114,24914,3.9,942,9.3,23972,4.0
115,29192,3.3,2164,11.0,27028,2.8
116,4426,7.7,464,12.9,3961,8.4
117,50365,2.8,3396,7.8,46969,2.7
118,69070,2.0,6094,6.9,62976,1.7
119,30017,3.8,2486,7.0,27531,3.9
120,30838,2.5,2047,12.6,28791,2.1
121,5828,7.6,416,20.7,5412,7.4
122,17853,5.7,1226,16.3,16627,5.2
123,7157,6.1,405,22.3,6752,6.5
124,10216,2.9,751,7.0,9465,2.9
125,4845,5.5,272,17.8,4574,5.1
126,5171,6.4,473,13.7,4699,6.2
127,199,45.8,6,80.9,193,45.9
128,57960,2.1,5387,7.5,52573,1.9
129,22119,4.3,1821,10.4,20298,4.4
130,23666,4.1,2335,12.7,21331,3.5
131,12175,5.4,1231,7.7,10944,5.6
132,18524,2.9,1946,14.3,16578,2.9
133,6530,7.6,537,25.9,5993,7.1
134,9714,6.8,1178,14.1,8536,7.0
135,2280,12.8,231,38.9,2049,12.9
136,52727,1.9,3458,5.7,49269,2.2
137,12604,4.1,606,12.4,11998,4.1
138,5517,5.9,195,24.2,5322,6.0
139,5015,6.5,325,26.3,4691,7.5
140,2072,11.8,87,42.1,1985,11.5
141,11190,6.6,938,12.2,10252,6.9
142,21001,3.2,940,13.8,20061,3.1
143,24884,3.7,1985,12.0,22899,3.7
144,6842,5.8,533,20.3,6309,5.2
145,21829,2.1,2306,8.6,19522,2.7
146,784,17.9,58,50.3,726,18.2
147,4814,10.1,206,28.8,4609,9.9
148,5339,9.1,606,16.0,4733,10.0
149,1037,25.8,126,34.9,911,25.9
150,14760,4.1,1898,8.1,12862,4.7
151,5882,9.8,496,21.9,5386,10.3
152,6712,7.4,1095,13.4,5617,8.5
153,2166,12.6,306,17.9,1859,13.3
154,13225,4.4,590,18.6,12634,4.5
155,4876,3.8,249,40.7,4627,3.9
156,5841,6.4,180,24.0,5660,6.3
157,2508,14.6,161,23.8,2347,15.0
158,10006,8.8,530,17.8,9476,9.1
159,2539,15.1,69,59.1,2470,14.4
160,5588,8.9,379,18.3,5209,9.4
161,1879,16.0,82,40.2,1797,16.4
162,2791,7.6,168,25.2,2623,7.6
163,1200,11.3,64,40.5,1136,11.0
164,1353,12.1,75,50.9,1278,11.3
165,238,42.5,28,79.0,210,39.2
166,1556,10.9,124,28.3,1432,10.9
167,699,20.7,50,52.8,650,20.1
168,724,10.0,46,44.3,678,10.8
169,133,46.4,28,79.0,105,47.3
170,502,41.0,14,48.0,487,40.5
171,257,42.6,8,77.9,249,42.1
172,240,45.1,6,57.0,234,44.2
173,4,111.6,0,0.0,4,106.4
174,284,32.4,23,89.6,261,27.8
175,122,32.2,5,67.9,117,30.9
176,132,71.8,18,114.8,113,62.8
177,30,125.5,0,0.0,30,119.7
178,640,14.2,6,60.8,634,13.7
179,272,15.8,1,0.0,271,15.2
180,297,16.9,5,72.2,291,16.4
181,71,69.7,0,0.0,71,66.5
182,31682,2.2,1930,7.4,29753,2.3
183,13283,2.5,468,19.1,12815,2.6
184,16188,3.3,1190,8.7,14998,3.3
185,2212,10.9,272,24.6,1940,11.0
186,383081,0.7,25911,2.8,357170,0.7
187,149739,1.9,7450,6.2,142289,1.7
188,177642,1.3,14112,4.9,163530,1.1
189,55700,2.7,4349,4.8,51351,2.7
190,156391,1.0,31820,2.1,124571,1.2
191,18219,5.0,5708,3.9,12511,6.2
192,76781,1.8,23656,2.3,53125,2.3
193,22026,2.3,5850,2.6,16176,3.1
194,47518,2.2,14408,2.9,33110,2.8
195,7237,6.8,3397,6.2,3839,11.2
196,118694,1.1,8451,3.0,110243,1.0
197,150124,1.5,19380,3.1,130744,1.5
198,9248,5.4,1751,5.8,7498,5.8
199,215487,0.8,25883,2.2,189604,0.9
200,9770,5.9,606,11.1,9164,5.9
201,4879,5.5,339,24.1,4540,5.7
202,84208,2.0,12722,3.6,71485,2.1
203,32237,2.5,3771,7.1,28466,2.9
204,46389,3.1,7893,5.2,38496,3.3
205,5582,7.8,1059,7.9,4523,9.4
206,3931,9.6,438,20.2,3493,9.4
207,762,13.3,30,37.2,732,13.1
208,56988,1.8,3283,6.6,53706,1.6
209,117623,1.2,11643,4.0,105980,1.0
210,50301,1.8,3117,7.0,47184,1.7
211,64001,2.4,7890,4.1,56111,2.4
212,3322,11.5,637,16.1,2685,11.3
213,26648,3.2,2606,5.3,24042,3.6
214,30944,2.7,2573,5.1,28371,2.6
215,14169,2.4,836,14.4,13333,2.9
216,15475,3.1,1438,10.4,14037,2.5
217,1299,19.1,299,24.0,1000,19.1
218,24706,2.6,3633,4.6,21073,3.0
219,10761,3.4,912,3.8,9850,3.4
220,11880,3.7,1110,7.3,10770,4.0
221,14548,3.4,1418,5.7,13130,3.7
222,220,39.1,78,27.6,142,52.5
223,31661,2.5,5045,5.7,26616,2.6
224,12161,3.2,1369,8.6,10792,3.3
225,18438,2.7,3530,8.7,14908,3.1
226,1062,16.4,147,32.2,916,17.8
227,13548,4.3,2605,4.9,10943,5.4
228,397,31.9,117,42.0,281,41.1
229,25469,3.2,4460,6.1,21008,2.8
230,10893,3.8,1211,16.3,9681,2.9
231,13550,4.1,2928,7.0,10622,4.1
232,1026,21.0,321,18.8,705,26.6
233,99817,1.7,9855,3.9,89962,1.9
234,44077,1.6,2793,8.5,41284,1.8
235,52730,2.7,6446,5.7,46284,2.8
236,3010,8.7,615,9.2,2395,10.6
237,18155,4.4,1548,8.3,16606,4.3
238,7079,5.9,513,17.6,6566,6.0
239,10391,4.9,939,12.4,9453,5.1
240,685,25.7,97,45.1,588,23.4
241,18619,4.1,5087,3.1,13531,4.9
242,649,21.5,236,18.5,413,29.9
243,3311,10.0,1344,6.5,1967,15.7
