id,sex
1,All firms
2,All firms
3,All firms
4,All firms
5,All firms
6,All firms
7,All firms
8,All firms
9,Female-owned
10,Male-owned
11,Equally male-/female-owned
12,All firms
13,All firms
14,All firms
15,Female-owned
16,Male-owned
17,Equally male-/female-owned
18,All firms
19,All firms
20,All firms
21,All firms
22,All firms
23,All firms
24,All firms
25,Female-owned
26,Male-owned
27,Equally male-/female-owned
28,All firms
29,Female-owned
30,Male-owned
31,Equally male-/female-owned
32,All firms
33,Female-owned
34,Male-owned
35,Equally male-/female-owned
36,All firms
37,Female-owned
38,Male-owned
39,Equally male-/female-owned
40,All firms
41,Female-owned
42,Male-owned
43,Equally male-/female-owned
44,All firms
45,All firms
46,All firms
47,All firms
48,All firms
49,All firms
50,All firms
51,Female-owned
52,Male-owned
53,Equally male-/female-owned
54,Male-owned
55,Equally male-/female-owned
56,All firms
57,All firms
58,All firms
59,All firms
60,All firms
61,All firms
62,All firms
63,Female-owned
64,Male-owned
65,Equally male-/female-owned
66,All firms
67,All firms
68,All firms
69,All firms
70,All firms
71,All firms
72,All firms
73,All firms
74,All firms
75,Female-owned
76,Male-owned
77,Equally male-/female-owned
78,All firms
79,Female-owned
80,Male-owned
81,Equally male-/female-owned
82,All firms
83,Female-owned
84,Male-owned
85,Equally male-/female-owned
86,All firms
87,Female-owned
88,Male-owned
89,Equally male-/female-owned
90,All firms
91,All firms
92,"All firms classifiable by gender, ethnicity, race, and veteran status"
93,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status"
94,All firms
95,Female-owned
96,Male-owned
97,Equally male-/female-owned
98,All firms
99,Female-owned
100,Male-owned
101,Equally male-/female-owned
102,All firms
103,Female-owned
104,Male-owned
105,Equally male-/female-owned
106,All firms
107,All firms
108,All firms
109,All firms
110,All firms
111,All firms
112,All firms
113,All firms
114,Female-owned
115,Male-owned
116,Equally male-/female-owned
117,Female-owned
118,Male-owned
119,Equally male-/female-owned
120,All firms
121,Female-owned
122,Male-owned
123,Equally male-/female-owned
124,All firms
125,Female-owned
126,Male-owned
127,Equally male-/female-owned
128,All firms
129,Female-owned
130,Male-owned
131,Equally male-/female-owned
132,All firms
133,Female-owned
134,Male-owned
135,Equally male-/female-owned
136,All firms
137,All firms
138,Female-owned
139,Male-owned
140,Equally male-/female-owned
141,All firms
142,Female-owned
143,Male-owned
144,Equally male-/female-owned
145,All firms
146,Female-owned
147,Female-owned
148,Male-owned
149,Equally male-/female-owned
150,All firms
151,Female-owned
152,Male-owned
153,Equally male-/female-owned
154,All firms
155,Female-owned
156,Male-owned
157,Equally male-/female-owned
158,All firms
159,Female-owned
160,Male-owned
161,Equally male-/female-owned
162,All firms
163,Female-owned
164,Male-owned
165,Equally male-/female-owned
166,All firms
167,Female-owned
