id,total_receipts,total_error,paid_receipts,paid_error,unpaid_receipts,unpaid_error
1,405420223,1.0,359222629,1.2,46197594,1.3
2,3506162,7.6,2541428,11.7,964734,6.1
3,795241,15.3,527511,19.9,267730,10.3
4,9544329,4.2,6594539,5.4,2949790,3.9
5,155985,20.6,67540,34.8,88445,19.6
6,296237,16.3,168302,28.0,127935,31.1
7,429061567,1.0,376388916,1.2,52672651,1.2
8,3223957714,0.4,3220637595,0.4,3320119,6.2
9,31527302,4.7,25554979,6.0,5972322,3.9
10,354520238,1.3,318841730,1.6,35678508,1.7
11,18165579,2.9,14016363,3.9,4149216,2.1
12,429061567,1.0,376388916,1.2,52672651,1.2
13,3223957714,0.4,3220637595,0.4,3320119,6.2
14,7679795,4.0,5553215,5.3,2126579,4.4
15,1548701,6.1,836767,8.4,711933,7.7
16,5656793,5.1,4324672,5.9,1332121,6.4
17,474301,19.8,391777,26.5,82525,24.4
18,6508587,3.5,4730319,4.4,1778268,5.4
19,158226,46.1,S,S,39603,35.4
20,94094,28.3,74321,39.3,19773,20.3
21,S,S,S,S,S,S
22,3752,45.5,S,S,1255,2.1
23,1039376,8.9,707726,13.5,331649,9.9
24,2778826,4.4,1816512,8.0,962314,6.3
25,688258,7.9,368052,13.3,320206,9.5
26,1853504,4.7,1257786,8.0,595719,8.8
27,237064,29.1,190675,40.2,46389,38.1
28,582263,11.7,430232,15.6,152031,10.9
29,98605,23.8,52807,43.7,45798,15.7
30,483350,15.4,377166,18.6,106185,12.9
31,S,S,S,S,S,S
32,1961106,11.3,1695031,12.9,266076,12.9
33,213153,26.1,134622,37.6,78531,19.3
34,1655650,14.2,1486389,15.3,169261,21.3
35,92304,38.9,74020,49.0,S,S
36,2250796,4.0,1527847,6.2,722949,7.2
37,517704,8.6,250305,11.9,267399,12.8
38,1639933,7.1,1195547,8.0,444386,11.1
39,93158,13.9,81994,20.7,11163,47.3
40,1051058,13.3,828761,16.0,222297,18.7
41,S,S,S,S,S,S
42,395490,29.8,329814,36.0,65677,21.9
43,624182,11.5,468197,12.3,155985,23.5
44,872373,15.0,708270,17.1,164104,18.0
45,S,S,S,S,S,S
46,S,S,S,S,S,S
47,S,S,S,S,S,S
48,S,S,S,S,S,S
49,S,S,S,S,S,S
50,420330714,1.0,370006940,1.3,50323775,1.3
51,34556341,4.6,27511238,5.5,7045103,4.0
52,366052027,1.3,327521021,1.5,38531006,1.7
53,19722347,2.8,14974682,3.9,4747665,2.1
54,749073,17.3,245082,21.1,503991,20.1
55,S,S,S,S,S,S
56,3854412,49.3,S,S,1395946,9.3
57,S,S,S,S,S,S
58,S,S,S,S,S,S
59,S,S,S,S,S,S
60,S,S,S,S,S,S
61,0,0.0,0,0.0,0,0.0
62,441196597,1.0,238940801,1.8,202255796,1.0
63,69281026,1.6,32192075,3.4,37088951,2.1
64,306478728,1.3,179540203,2.0,126938526,1.6
65,65436843,1.8,27208524,3.3,38228318,2.3
66,414344745,1.0,228298402,1.7,186046343,1.2
67,4376847,6.5,1840935,13.9,2535912,5.2
68,877900,14.5,434233,20.6,443667,18.4
69,19753275,3.3,7739710,6.2,12013566,2.4
70,167654,11.2,62086,31.6,105568,13.5
71,463939,16.0,126718,24.8,337222,22.3
72,458184793,1.1,246648164,2.0,211536630,0.9
73,259227700,1.2,241124059,1.3,18103641,2.9
74,7614523,25.5,3932538,47.3,3681986,6.2
75,374880,15.1,235583,16.2,139297,32.7
76,1963255,14.8,718397,20.3,1244858,17.7
77,5276389,34.7,S,S,2297831,8.9
78,412161733,1.0,227446257,1.7,184715476,1.2
79,62347126,1.8,29738836,3.9,32608290,2.3
80,291024441,1.3,172442194,1.9,118582247,1.8
81,58790165,2.0,25265227,3.1,33524939,3.0
82,717412493,0.9,487772223,1.3,229640271,0.9
83,72714463,1.7,33392410,3.8,39322052,2.0
84,314581748,1.3,183012397,2.0,131569352,1.4
85,70888582,3.1,30243357,6.8,40645225,2.0
86,428939988,1.1,235212223,2.0,193727765,1.1
87,65814989,1.8,30926166,4.3,34888823,2.1
88,299089633,1.3,175967788,1.9,123121845,1.7
89,64035365,3.6,28318268,7.2,35717097,2.7
90,458184793,1.1,246648164,2.0,211536630,0.9
91,259227700,1.2,241124059,1.3,18103641,2.9
92,458184793,1.1,246648164,2.0,211536630,0.9
93,259227700,1.2,241124059,1.3,18103641,2.9
94,4467614,6.3,1858370,13.8,2609244,5.0
95,1361439,10.2,420503,27.9,940936,7.2
96,2615219,12.1,1318728,22.3,1296490,7.4
97,490956,9.9,119139,25.8,371818,9.8
98,12541651,2.6,5052249,5.5,7489402,2.5
99,3340505,6.7,1179744,21.2,2160761,4.3
100,7353947,2.3,3227112,6.0,4126835,4.0
101,1847199,7.9,645392,9.5,1201807,9.2
102,917650,14.0,439655,20.1,477996,18.1
103,360299,19.8,133480,14.4,226819,27.7
104,531821,18.7,294598,31.0,237223,14.0
105,25530,21.8,11576,12.7,13955,33.9
106,19867703,3.4,7765938,6.1,12101766,2.4
107,10740832,2.8,4455355,5.6,6285476,2.6
108,90394,19.1,17285,35.1,73109,21.7
109,39728,19.6,5422,39.6,34306,20.0
110,99573,21.1,23855,31.7,75718,25.4
111,28356,42.4,6835,12.5,S,S
112,1763255,5.2,607982,11.9,1155273,7.6
113,4762968,4.2,1647243,9.7,3115726,3.2
114,1357222,5.9,359770,17.3,997452,6.8
115,2846843,5.9,1082194,9.7,1764649,5.2
116,558903,13.8,205279,21.0,353624,19.9
117,4970278,5.3,1670591,12.3,3299687,4.3
118,10696460,4.1,4900161,6.0,5796299,4.9
119,4200966,10.1,1195186,29.1,3005779,5.0
120,4141071,8.9,1174837,13.9,2966233,9.1
121,565847,13.1,130498,21.1,435349,15.4
122,2717450,12.2,875083,15.5,1842367,12.5
123,857773,12.4,169257,23.5,688516,13.8
124,693979,7.2,336524,8.5,357456,10.4
125,269883,9.7,154167,15.7,115716,13.1
126,408946,12.7,181727,14.8,227219,16.2
127,S,S,S,S,S,S
128,7523709,7.3,2718683,19.1,4805027,4.1
129,2360816,8.0,695632,19.5,1665184,7.2
130,3249863,9.0,1313180,18.0,1936683,5.2
131,1913031,20.0,S,S,1203160,8.3
132,2391918,7.0,1260076,13.9,1131842,9.1
133,443330,17.4,132064,45.0,311265,18.1
134,1590632,11.0,947135,19.4,643497,15.1
